gene,mean_effect,n_lines,lineage
A1BG,0.0099,1208,all
A1CF,-0.0144,1208,all
A2M,0.0013,1208,all
A2ML1,0.0977,1208,all
A3GALT2,-0.0551,1208,all
A4GALT,-0.0607,1208,all
A4GNT,0.0785,1208,all
AAAS,-0.3194,1208,all
AACS,0.0047,1208,all
AADAC,0.1278,1208,all
AADACL2,0.0572,1208,all
AADACL3,0.0288,1208,all
AADACL4,0.0291,1208,all
AADAT,-0.0278,1208,all
AAGAB,0.0348,1208,all
AAK1,-0.1876,1208,all
AAMDC,-0.0391,1208,all
AAMP,-0.9254,1208,all
AANAT,-0.1458,1208,all
AAR2,-0.0506,1208,all
AARD,-0.1617,1208,all
AARS1,-2.2483,1208,all
AARS2,-0.58,1208,all
AARSD1,-0.2003,1208,all
AASDH,-0.0703,1208,all
AASDHPPT,-0.3779,1208,all
AASS,0.0376,1208,all
AATF,-0.7236,1208,all
AATK,-0.1424,1208,all
ABAT,-0.0193,1208,all
ABCA1,0.009,1208,all
ABCA10,0.0886,1208,all
ABCA12,0.0115,1208,all
ABCA13,-0.019,1208,all
ABCA2,0.0101,1208,all
ABCA3,0.0101,1208,all
ABCA4,-0.1464,1208,all
ABCA5,-0.0384,1208,all
ABCA6,0.0879,1208,all
ABCA7,0.0694,1208,all
ABCA8,-0.0152,1208,all
ABCA9,0.0803,1208,all
ABCB1,-0.0882,1208,all
ABCB10,-0.2384,1208,all
ABCB11,-0.0294,1208,all
ABCB4,-0.0364,1208,all
ABCB5,-0.0112,1208,all
ABCB6,0.0067,1208,all
ABCB7,-1.1067,1208,all
ABCB8,0.0723,1208,all
ABCB9,-0.0478,1208,all
ABCC1,0.0175,1208,all
ABCC10,-0.1266,1208,all
ABCC11,0.0395,1208,all
ABCC12,0.0461,1208,all
ABCC2,-0.0142,1208,all
ABCC3,-0.0439,1208,all
ABCC4,0.1329,1208,all
ABCC5,0.0718,1208,all
ABCC6,-0.0465,383,all
ABCC8,0.0501,1208,all
ABCC9,-0.0231,1208,all
ABCD1,-0.136,1208,all
ABCD2,-0.005,1208,all
ABCD3,-0.1206,1208,all
ABCD4,-0.1123,1208,all
ABCE1,-1.908,1208,all
ABCF1,-1.0257,1208,all
ABCF3,0.0367,1208,all
ABCG1,-0.006,1208,all
ABCG2,0.0774,1208,all
ABCG4,0.0266,1208,all
ABCG5,0.0461,1208,all
ABCG8,0.0252,1208,all
ABHD1,0.0249,1208,all
ABHD10,0.0303,1208,all
ABHD11,-0.3802,1208,all
ABHD12,0.0073,1208,all
ABHD12B,0.0158,1208,all
ABHD13,-0.1092,1208,all
ABHD14A,0.0252,1208,all
ABHD14B,0.0185,1208,all
ABHD15,-0.2009,1208,all
ABHD16A,-0.1287,1208,all
ABHD16B,0.0363,1208,all
ABHD17A,-0.2885,1208,all
ABHD17B,0.0433,1208,all
ABHD17C,0.0876,1208,all
ABHD18,0.0759,1208,all
ABHD2,-0.0702,1208,all
ABHD3,-0.0719,1208,all
ABHD4,0.021,1208,all
ABHD5,-0.0717,1208,all
ABHD6,0.0848,1208,all
ABHD8,-0.0252,1208,all
ABI1,-0.0649,1208,all
ABI2,0.0712,1208,all
ABI3,0.0539,1208,all
ABI3BP,0.0808,1208,all
ABITRAM,-0.0097,1208,all
ABL1,-0.0276,1208,all
ABL2,0.0991,1208,all
ABLIM1,0.039,1208,all
ABLIM2,0.0309,1208,all
ABLIM3,0.0494,1208,all
ABR,-0.0125,1208,all
ABRA,-0.0251,1208,all
ABRACL,0.0866,1208,all
ABRAXAS1,-0.2885,1208,all
ABRAXAS2,0.1515,1208,all
ABT1,-0.8393,1208,all
ABTB1,0.0576,1208,all
ABTB2,0.0464,1208,all
ABTB3,-0.0348,1208,all
ACAA1,0.043,1208,all
ACAA2,-0.0756,1208,all
ACACA,-0.3595,1208,all
ACACB,-0.0822,1208,all
ACAD10,-0.0626,1208,all
ACAD11,0.0384,1208,all
ACAD8,0.0493,1208,all
ACAD9,-0.2544,1208,all
ACADL,-0.0048,1208,all
ACADM,0.0032,1208,all
ACADS,-0.0537,1208,all
ACADSB,-0.0688,1208,all
ACADVL,-0.0343,1208,all
ACAN,0.0094,1208,all
ACAP1,-0.0438,1208,all
ACAP2,0.0144,1208,all
ACAP3,-0.1509,1208,all
ACAT1,0.0624,1208,all
ACAT2,0.1273,1208,all
ACBD3,-0.0076,1208,all
ACBD4,-0.0825,1208,all
ACBD5,0.0067,1208,all
ACBD6,0.0673,1208,all
ACBD7,0.1007,1208,all
ACCS,0.0532,1208,all
ACCSL,-0.0304,1208,all
ACD,-0.3961,1208,all
ACE,-0.1036,1208,all
ACE2,0.2186,1208,all
ACER1,-0.0143,1208,all
ACER2,0.0144,1208,all
ACER3,0.0906,1208,all
ACHE,-0.2343,1208,all
ACIN1,-0.7711,1208,all
ACKR1,-0.0404,1208,all
ACKR2,0.0715,1208,all
ACKR3,0.0534,1208,all
ACKR4,-0.1536,1208,all
ACLY,-0.5229,1208,all
ACMSD,0.0695,1208,all
ACO1,0.0593,1208,all
ACO2,-0.7783,1208,all
ACOD1,0.0417,1208,all
ACOT1,0.315,317,all
ACOT11,0.0018,1208,all
ACOT12,-0.2245,1208,all
ACOT13,0.0208,1208,all
ACOT2,0.0543,1208,all
ACOT4,-0.1284,1165,all
ACOT6,-0.0406,1208,all
ACOT7,0.0642,1208,all
ACOT8,0.0464,1208,all
ACOT9,0.0823,1208,all
ACOX1,-0.1672,1208,all
ACOX2,-0.0657,1208,all
