t_s,R,G,B,red_blue
0,472,667,665,0.71
5,506,667,637,0.79
10,512,671,641,0.80
15,517,672,640,0.81
20,519,672,638,0.81
25,522,673,637,0.82
30,524,674,636,0.82
35,527,675,635,0.83
40,530,676,634,0.84
45,530,676,632,0.84
50,534,678,632,0.84
55,536,679,631,0.85
60,538,680,630,0.85
65,540,681,630,0.86
70,542,681,629,0.86
75,544,682,629,0.86
80,545,682,628,0.87
85,547,683,627,0.87
90,548,684,627,0.87
95,550,684,626,0.88
100,552,685,626,0.88
105,554,686,626,0.88
110,555,686,625,0.89
115,556,687,625,0.89
120,558,688,625,0.89
125,560,689,625,0.90
130,561,689,625,0.90
135,563,690,624,0.90
140,564,691,624,0.90
145,566,692,625,0.91
150,568,692,624,0.91
155,569,693,624,0.91
160,571,694,624,0.92
165,570,692,623,0.91
170,569,691,621,0.92
175,574,695,624,0.92
180,575,696,624,0.92
185,576,695,623,0.92
190,577,696,623,0.93
195,577,696,623,0.93
200,578,697,624,0.93
205,579,697,624,0.93
210,580,698,624,0.93
215,580,698,623,0.93
220,581,698,624,0.93
225,582,699,624,0.93
230,582,699,624,0.93
235,582,699,624,0.93
240,582,699,623,0.93
245,583,700,624,0.93
250,584,701,624,0.94
255,584,701,625,0.93
260,584,702,625,0.93
265,584,702,625,0.93
270,585,702,625,0.94
275,585,703,626,0.93
280,586,704,626,0.94
285,586,704,626,0.94
290,586,705,627,0.93
295,587,705,627,0.94
300,586,706,628,0.93
